¿Cómo estás? | How are you?
Lo siento, ¿cuál era tu nombre? | Sorry, what was your name again?
¿Conoces a João? | Do you know João?
Silvia me ha hablado mucho de ti. | Silvia has told me a lot about you.
Tenía muchas ganas de conocerte. | I've been looking forward to meeting you.
¡Por fin nos encontramos! | At last, we meet!
Fue un placer conocerte. | It was nice meeting you.
¿Cuánto tiempo llevas aquí? | How long have you been here?
¿Dónde vives? | Where are you living?
¿Qué te parece aquí? | How do you like it here?
¿Cómo te gusta la comida? | How do you like the food?
¿Dónde has estado en Florianópolis? | Where have you been in Florianópolis?
¿Has estado en algún otro lugar? | Have you been anywhere else?
¿Extrañas tu hogar? | Do you miss home?
¿Ya sabes algo de portugués? | Do you know any Portuguese yet?
Tienes que irte. | You have to go.
¿Sabes a dónde deberías ir? | You know where you should go?
Déjame darte mi número de teléfono. | Let me give you my phone number.
Llámame y haremos algo. | Call me and we'll do something.
Sería un placer mostrarte la ciudad. | It would be my pleasure to show you around the city.
Nací en 1967. | I was born in 1967.
Nací en Belo Horizonte. | I was born in Belo Horizonte.
Mis padres eran muy estrictos. | My parents were very strict.
Mis padres estaban bastante bien. | My parents were pretty well off.
Nunca lo tuvimos fácil. | We never had it easy.
Siempre tuvimos que luchar. | We always had to struggle.
Siempre me estaba metiendo en problemas. | I was always getting into trouble.
Mi padre dejó a mi madre cuando yo era joven. | My father left my mother when I was young.
Mis padres están divorciados. | My parents are divorced.
Simplemente todavía no he encontrado a la persona adecuada. | I just haven't found the right person yet.
He estado casado dos veces. | I've been married twice.
Conseguí mi primer trabajo cuando tenía 21 años. | I got my first job when I was 21 years old.
Tengo dos hermanos y una hermana. | I have two brothers and one sister.
Mi hermano es médico. | My brother is a doctor.
Mi hermana vive en Porto Alegre. | My sister lives in Porto Alegre.
Mis padres se divorciaron cuando yo tenía 12 años. | My parents got divorced when I was 12.
También tengo familia en Petrópoles. | I also have family in Petrópoles.
Tengo dos hijos de mi primer matrimonio. | I have two children from my first marriage.
¿Vienes de una familia numerosa? | Do you come from a big family?
¿Cuánto tiempo llevas casado? | How long have you been married?
¿Tuviste algún problema para encontrarlo? | Did you have any trouble finding it?
Me alegra que hayas podido venir. | I'm glad you could come.
¡Por favor entra! | Please come in!
Déjame tomar tu abrigo. | Let me take your coat.
Voy a guardar esto, ¡vale! | I'm just going to put this away, OK!
Siéntase como en casa. | Please make yourself at home.
¿Tienes hambre? | Are you hungry?
¿Puedo traerte algo de beber? | Can I get you something to drink?
¿Quieres un poco de vino? | Would you like some wine?
¿Te importa si fumo? | Do you mind if I smoke?
¿No te apetece un café antes de irte? | Wouldn't you like some coffee before you go?
Déjame recoger tus cosas. | Let me get your things.
Gracias por venir. | Thanks for coming by.
Me alegra mucho que hayas podido venir. | I'm so glad you could come.
No dudes en pasar por aquí en cualquier momento. | Please feel free to stop by anytime.
No seas un extraño. | Don't be a stranger.
¿Quieres quedarte aquí? | Would you like to stay here?
Puedes dormir aquí si quieres. | You can sleep here if you like.
Es un poco tarde para conducir. | It's a little late to be driving.
Tienes un largo viaje en coche. | You have a long drive.
¿Qué tipo de películas te gustan? | What kind of movies do you like?
Se ve muy bien en las vistas previas. | It looks great on the previews.
